,year,year_code,country_name,country_code,total_fertility_rate,gdp_2015_dollar,gdp_per_capita_2015_dollar,gdp_growth,physicians_per_1000,hospital_beds_per_1000,arable_land_hectare_per_person,cpi,crop_production_index,food_production_index,percent_of_household_expenditure_in_gdp,life_expectancy_at_birth,infant_mortality_rate,child_mortality_rate,female_percentage_in_labor
291,2003,YR2003,Brazil,BRA,2.023,1250000000000.0,6865.17325,1.140828998,,2.4,0.258332073,69.8241962,66.32,68.05,61.84465042,70.72,25.0,28.3,56.018
292,2003,YR2003,France,FRA,1.89,2130000000000.0,34183.66334,0.823160757,3.454,7.84,0.294823214,89.25284626,89.85,95.96,54.24440075,79.11463415,3.6,4.9,50.323
293,2003,YR2003,Germany,DEU,1.34,2860000000000.0,34619.66407,-0.700116686,3.401,8.87,0.143298214,89.55746156,81.79,86.1,56.46346261,78.3804878,4.1,5.0,49.737
294,2003,YR2003,Poland,POL,1.22,300000000000.0,7864.518264,3.498391213,2.408,6.61,0.329463203,82.24548335,87.46,88.01,65.01950063,74.59756098,7.0,8.1,48.188
295,2003,YR2003,Nigeria,NGA,6.116,236000000000.0,1769.882237,7.347194968,0.262,,0.268322216,45.29060312,70.19,70.53,,48.441,100.6,165.6,
296,2003,YR2003,Kenya,KEN,4.907,39344305939.0,1165.166103,2.932475546,,,0.15239676,45.09413465,67.58,69.79,77.1191802,55.601,50.2,81.1,
297,2003,YR2003,United Kingdom,GBR,1.7,2470000000000.0,41385.54047,3.146572528,2.201,3.95,0.094873929,85.13038654,93.0,91.97,65.34966074,78.44634146,5.3,6.2,54.552
298,2003,YR2003,China,CHN,1.57,3600000000000.0,2797.176659,10.03803048,1.19,1.76,0.093310721,81.86821482,65.89,68.08,42.707785,73.371,23.5,28.9,
299,2003,YR2003,Japan,JPN,1.29,4070000000000.0,31830.21758,1.535125499,,14.27,0.03442741,100.7076833,106.01,97.92,54.89712551,81.76,2.9,4.0,48.246
300,2004,YR2004,Argentina,ARG,2.43,400000000000.0,10341.64341,9.029573301,3.1857,,0.822223687,,66.46,73.94,64.33150085,74.855,15.4,17.3,50.312
301,2004,YR2004,Brazil,BRA,2.002,1330000000000.0,7178.347485,5.759964637,,,0.258528973,74.43062767,68.9,70.89,60.20657719,71.131,23.5,26.4,56.948
